date,mels_S,lig_S,mels_N,hvac_N,hvac_S
2018/6/28 20:30,8,4.2,18.2,37.1,24.6
2018/6/28 20:45,8.69,4.4,19.2,56.7,59.5
2018/6/28 21:00,8.8,5,15.1,54.4,33.29
2018/6/28 21:15,8.69,4.8,16.7,47.2,37.9
2018/6/28 21:30,8.69,4.3,17.89,36.5,48.5
2018/6/28 21:45,8.5,4.09,17.89,47.2,31.2
2018/6/28 22:00,9,4.3,18,46.7,33
2018/6/28 22:15,8.1,4.275,15,57.1,30.5
2018/6/28 22:30,7.8,4.25,14.5,40.5,26.9
2018/6/28 22:45,9.1,4.225,14.2,38.6,24.4
2018/6/28 23:00,8.9,4.2,16.89,33.7,59.6
2018/6/28 23:15,7.3,4.09,16.1,37.2,25
2018/6/28 23:30,6.5,4,17,55.8,22.9
2018/6/28 23:45,5.8,4,16.39,54.7,23.5
2018/6/29 0:00,4.59,3.2,17.39,67.59,26.8
2018/6/29 0:15,4,2.4,15.7,36.1,26.8
2018/6/29 0:30,3.7,3.8,14.7,45.5,25.4
2018/6/29 0:45,3.3,3.6,16.1,30,43.7
2018/6/29 1:00,3.4,3.6,15.6,29.2,21.9
2018/6/29 1:15,3,2.2,16,47.6,22.4
2018/6/29 1:30,2.9,2.05,10.5,45.2,19.39
2018/6/29 1:45,2.5,1.9,10,21.1,18.89
2018/6/29 2:00,2.2,1.9,11.1,20.6,45.5
2018/6/29 2:15,3.5,1.9,10.9,20.2,23.2
2018/6/29 2:30,2.8,1.9,11.7,22.7,45.1
2018/6/29 2:45,3.6,1.6,10.19,23.8,21.5
